,Latitude,Longitude,Month,Hour,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling,Fall,Spring,Summer,Winter
0,47.11,-122.57,12,11,81.71997,12.86919,0.8869401879453428,5,10.0,1010.6,722,0,0,0,1
1,47.11,-122.57,12,13,96.64917,9.66415,0.9012704907177321,0,10.0,1011.3,23,0,0,0,1
2,47.11,-122.57,12,13,93.61572,15.44983,1.497021450924422,5,10.0,1011.6,32,0,0,0,1
3,47.11,-122.57,12,12,77.21558,10.36659,0.5029789187396878,5,2.0,1024.4,6,0,0,0,1
4,47.11,-122.57,12,14,54.80347,16.85471,1.883942035872663,3,3.0,1023.7,9,0,0,0,1
5,47.11,-122.57,12,14,47.10083,18.12363,1.0716760777589207,0,5.0,1023.7,722,0,0,0,1
6,47.11,-122.57,12,11,43.55469,19.41269,1.2275447892476044,0,4.0,1025.7,722,0,0,0,1
7,47.11,-122.57,12,12,30.56641,23.9093,1.5728154209775995,5,7.0,1026.0,722,0,0,0,1
8,47.11,-122.57,12,13,17.90771,32.32346,1.788632919996191,5,10.0,1025.7,722,0,0,0,1
9,47.11,-122.57,12,14,14.4043,35.41267,1.6016496625983832,6,10.0,1025.4,722,0,0,0,1
10,47.11,-122.57,12,15,15.72876,32.91763,1.0473400466905345,6,10.0,1025.0,722,0,0,0,1
11,47.11,-122.57,12,11,26.18408,25.84541,1.5427274343046793,3,3.0,1025.7,722,0,0,0,1
12,47.11,-122.57,12,12,23.71216,27.76642,1.5654881147668926,0,5.0,1025.7,722,0,0,0,1
13,47.11,-122.57,12,13,15.93628,36.06476,1.8233744085973063,0,10.0,1025.4,722,0,0,0,1
14,47.11,-122.57,12,14,16.70532,34.82101,1.6433232639785602,3,10.0,1024.4,722,0,0,0,1
15,47.11,-122.57,12,15,13.39111,39.3,1.130227228037361,0,10.0,1023.7,722,0,0,0,1
16,47.11,-122.57,12,12,83.30078,8.3625,0.3725561670797707,0,0.3,1022.0,1,0,0,0,1
17,47.11,-122.57,12,12,82.89795,7.17163,0.9012704907177321,0,0.3,1022.0,2,0,0,0,1
18,47.11,-122.57,12,13,82.08618,7.72049,0.5029789187396878,0,0.3,1021.7,2,0,0,0,1
19,47.11,-122.57,12,14,72.70508,9.70192,0.5648591602584144,0,0.3,1021.3,2,0,0,0,1
20,47.11,-122.57,12,14,70.01953,10.35904,0.5648591602584144,0,0.1,1021.3,2,0,0,0,1
21,47.11,-122.57,12,15,67.30347,11.60027,0.5446529726887159,0,0.3,1021.0,2,0,0,0,1
22,47.11,-122.57,12,12,82.72705,6.49437,0.41403494856900325,0,0.1,1021.7,1,0,0,0,1
23,47.11,-122.57,12,13,76.77002,8.42796,0.5240359814870412,3,0.6,1021.3,2,0,0,0,1
24,47.11,-122.57,12,13,79.04053,7.13387,0.5029789187396878,3,1.0,1021.0,2,0,0,0,1
25,47.11,-122.57,12,13,74.95117,8.36754,0.5240359814870412,0,1.8,1021.0,2,0,0,0,1
26,47.11,-122.57,12,12,27.74658,24.48082,1.512647237237113,0,6.0,1019.3,722,0,0,0,1
27,47.11,-122.57,12,13,22.82715,29.63959,1.5654881147668926,0,6.0,1019.0,722,0,0,0,1
28,47.11,-122.57,12,14,20.41016,30.38734,1.3977658117113334,0,10.0,1018.3,722,0,0,0,1
29,47.11,-122.57,12,15,25.1709,27.69592,0.6601693400627392,0,10.0,1018.0,722,0,0,0,1
30,47.11,-122.57,12,12,32.62329,23.24715,1.3349642239483899,0,6.0,1018.6,722,0,0,0,1
31,47.11,-122.57,12,13,24.4873,27.09419,1.5944765472939402,0,10.0,1018.0,722,0,0,0,1
32,47.11,-122.57,12,14,17.04102,32.89246,1.6227035337129934,0,10.0,1017.3,722,0,0,0,1
33,47.11,-122.57,12,15,15.20386,34.12865,1.0836509235279495,0,10.0,1016.6,722,0,0,0,1
34,47.11,-122.57,12,12,21.62476,29.62448,1.565544539389359,0,10.0,1016.6,722,0,0,0,1
35,47.11,-122.57,12,13,14.16626,36.05721,1.8176773471343712,0,10.0,1016.6,722,0,0,0,1
36,47.11,-122.57,12,14,12.39014,34.78828,1.6157360375412222,6,10.0,1016.3,722,0,0,0,1
37,47.11,-122.57,12,15,13.10425,32.98309,1.1187971958272074,5,10.0,1017.0,722,0,0,0,1
38,47.11,-122.57,12,11,32.17163,21.98326,0.9432948172931508,0,10.0,1019.3,722,0,0,0,1
39,47.11,-122.57,12,12,20.41016,29.67735,1.601593223160908,5,10.0,1018.6,722,0,0,0,1
40,47.11,-122.57,12,15,18.98193,31.70158,1.0955409101436235,5,10.0,1017.0,722,0,0,0,1
41,47.11,-122.57,12,14,70.97168,11.00105,0.604075500785212,0,4.0,1014.6,3,0,0,0,1
42,47.11,-122.57,12,13,69.15283,12.3304,0.604075500785212,3,10.0,1015.3,110,0,0,0,1
43,47.11,-122.57,12,13,69.50073,12.94724,0.6388546561330416,3,10.0,1015.6,24,0,0,0,1
44,47.11,-122.57,12,11,51.64185,20.60104,0.3664054486517068,8,10.0,1010.6,722,0,0,0,1
45,47.11,-122.57,12,12,24.01123,26.45973,1.5280304405600886,6,10.0,1011.9,722,0,0,0,1
46,47.11,-122.57,12,13,14.4043,27.76642,1.788632919996191,15,10.0,1012.6,722,0,0,0,1
47,47.11,-122.57,12,14,10.57739,30.91103,1.5873088611108548,10,10.0,1013.6,722,0,0,0,1
48,47.11,-122.57,12,15,10.95581,29.11842,0.6231269958531356,11,10.0,1014.6,722,0,0,0,1
49,47.11,-122.57,12,12,36.56006,18.66745,1.2875618317522852,0,10.0,1019.3,722,0,0,0,1
50,47.11,-122.57,12,13,33.14209,17.41867,1.344182472543876,3,10.0,1018.6,722,0,0,0,1
51,47.11,-122.57,12,14,31.15234,19.30695,1.7526998097715973,3,10.0,1017.6,722,0,0,0,1
52,47.11,-122.57,12,12,70.39795,7.80357,0.3417156089442046,0,6.0,1014.3,170,0,0,0,1
53,47.11,-122.57,1,12,66.97998,9.70192,0.4814750798371784,3,10.0,1016.3,722,0,0,0,1
54,47.11,-122.57,1,13,66.8335,9.01962,0.5029789187396878,3,10.0,1015.6,160,0,0,0,1
55,47.11,-122.57,1,11,62.97607,10.94315,0.3664054486517068,6,3.0,1010.9,5,0,0,0,1
56,47.11,-122.57,1,11,62.42676,11.64307,0.5029789187396878,5,3.0,1010.9,6,0,0,0,1
57,47.11,-122.57,1,12,39.50806,22.52205,1.5280304405600886,0,4.0,1010.3,20,0,0,0,1
58,47.11,-122.57,1,12,24.15161,28.96988,1.5873640678755376,5,3.0,1010.3,15,0,0,0,1
59,47.11,-122.57,1,12,25.64087,27.70348,1.5857024416373444,6,3.0,1010.3,722,0,0,0,1
60,47.11,-122.57,1,14,19.87915,30.96642,1.6227035337129934,6,3.0,1009.2,722,0,0,0,1
61,47.11,-122.57,1,15,17.81006,32.96547,1.4320131467648365,3,4.0,1008.2,722,0,0,0,1
62,47.11,-122.57,1,13,97.82104,11.63803,0.4814194698730943,0,10.0,1005.6,3,0,0,0,1
63,47.11,-122.57,1,14,95.61768,12.88177,0.9703204787580644,0,10.0,1005.2,130,0,0,0,1
64,47.11,-122.57,1,11,64.04419,17.47154,0.8722845064005634,10,10.0,1013.6,70,0,0,0,1
65,47.11,-122.57,1,13,48.52905,18.73291,1.5654881147668926,13,10.0,1014.6,60,0,0,0,1
66,47.11,-122.57,1,14,31.99463,24.57146,1.3890331073283817,10,10.0,1014.3,50,0,0,0,1
67,47.11,-122.57,1,12,80.29785,11.57761,0.4814750798371784,3,10.0,1008.6,60,0,0,0,1
68,47.11,-122.57,1,12,82.21436,11.59775,0.4778849895715366,0,1.0,998.8,2,0,0,0,1
69,47.11,-122.57,1,12,80.05371,11.63048,0.5446529726887159,0,0.0,998.5,2,0,0,0,1
70,47.11,-122.57,1,13,77.68555,12.22214,0.5446529726887159,0,4.0,997.8,2,0,0,0,1
71,47.11,-122.57,1,13,77.78931,12.23221,-0.719881375762582,0,10.0,997.2,3,0,0,0,1
72,47.11,-122.57,1,15,68.46313,15.44228,-1.1244225255679268,0,10.0,995.5,70,0,0,0,1
73,47.11,-122.57,1,11,85.84595,12.32285,0.3416587633085131,9,10.0,992.8,722,0,0,0,1
74,47.11,-122.57,1,12,40.22827,25.23865,1.7587799061833045,9,10.0,993.1,722,0,0,0,1
75,47.11,-122.57,1,12,48.49243,19.41269,1.0348592367465883,10,10.0,993.1,16,0,0,0,1
76,47.11,-122.57,1,13,63.0249,14.8909,0.9966386237434878,9,10.0,993.5,14,0,0,0,1
